9.15,7.6503E-05
9.8,0.0000E+00
19.27,1.4841E+00
10.88,7.0491E-02
41.69,2.0825E-10
5.36,0.0000E+00
3.95,NaN
11.64,NaN
15.78,2.0404E-09
6.36,5.2592E+01
7.63,9.2458E-01
26.48,5.0759E+01
36.87,NaN
42.18,1.9970E+00
42.72,3.7253E-10
41.33,1.7719E+00
14.02,2.4737E-05
89.9,NaN
23.5,1.5975E+00
15.19,4.3789E-03
57.72,9.0190E-06
6.23,3.5859E-02
30.75,1.3075E+00
36.81,8.8507E-03
24.55,0.0000E+00
26.58,1.7844E+00
39.85,1.2761E+00
14.23,0.0000E+00
9.94,NaN
20.02,3.3579E-10
46.83,0.0000E+00
16.1,9.4639E-09
32.95,2.6591E-01
6.73,4.5039E+01
24.43,8.3711E-01
40.35,1.7363E+00
18.18,4.9082E+01
23.54,6.9602E-27
15.1,4.0861E-01
26.99,2.1310E+01
8.51,1.5054E+00
42.1,2.3307E+01
55.04,2.7801E-01
52.67,1.6216E-06
56.63,5.5243E-02
15.18,0.0000E+00
81.67,1.4294E-06
33.72,6.0324E-01
50.57,3.5882E-01
15.34,1.7715E+00
6.84,1.8601E+00
20.98,8.9602E-07
22.22,3.1133E-50
44,1.7576E+00
17.86,3.0416E+01
35.57,1.7230E+00
32.38,1.4779E+00
5.21,1.3345E+00
10.99,1.9745E+00
8.61,9.9571E-01
5.72,NaN
44.82,1.1395E-01
4.77,1.0340E-04
44.83,1.6095E+00
5.45,3.8983E-01
36.7,1.7180E-04
30.15,4.4033E-05
40.5,7.5247E-09
3.74,NaN
21.36,1.5702E+00
4.22,8.1326E-01
33.25,1.8007E+00
7.71,NaN
25.5,1.7044E+00
12.91,8.1764E-15
10.42,1.5414E-08
43.38,1.3787E+00
15.53,1.0706E+00
12.11,0.0000E+00
34.89,4.0124E+01
4.84,0.0000E+00
23.85,1.2837E+00
13.78,1.5199E+00
14.11,3.7869E+01
64.3,1.7129E+00
19.26,9.1251E-10
36.52,0.0000E+00
64.95,NaN
9.27,0.0000E+00
9.43,1.7562E+00
8.8,1.0413E-10
39.6,NaN
14.86,4.2702E+01
42.5,7.3082E-04
79.04,1.8537E+00
38.21,8.6493E-02
52.17,6.1479E-01
28.35,7.3113E-26
49.01,1.0487E+00
29.84,1.3642E+00
21.77,0.0000E+00
21.79,1.5017E-09
3.89,NaN
45.98,0.0000E+00
31.89,NaN
29.41,6.1381E-01
26.01,1.8317E+00
7.93,3.9718E-08
74.91,0.0000E+00
20.9,0.0000E+00
38.58,1.5669E+00
48.36,2.3459E-08
35.98,0.0000E+00
36.29,5.2684E-10
35.05,4.4714E-01
40.07,5.1449E-13
6.48,NaN
60.1,0.0000E+00
9,1.0464E+00
26.35,2.0305E+00
80.63,1.0191E+00
26.78,2.7197E+01
7.62,7.5981E-09
87.91,1.6475E+00
11.2,1.2650E+00
14.25,2.0987E+01
15.99,6.7055E-09
25.17,4.5028E-02
66.27,8.9599E-01
7.15,3.3320E-09
56.52,1.1457E-14
5.09,1.1406E-10
50.48,1.4124E+00
20.88,0.0000E+00
9.51,NaN
7.34,1.4961E+00
27.8,1.6562E+00
57.62,1.7769E+00
10.1,8.4696E-01
12.42,1.7359E+00
11.54,1.7766E+00
21.57,0.0000E+00
4.61,2.3138E-03
31.28,5.2561E+01
29.7,4.2861E-01
31.59,1.9509E+00
4.24,4.9583E-08
5.78,1.0960E+00
28.07,1.7773E+00
10.77,NaN
17.9,1.7599E+00
37.22,1.6323E-08
8.98,6.6431E-09
33.53,1.5656E+00
74.3,5.7952E-09
17.13,3.5768E-10
23.04,0.0000E+00
16.43,1.7958E+01
5.67,3.3644E+01
20.61,NaN
24.19,1.3576E-10
43.6,2.2651E+01
17.95,4.6600E-01
16.89,1.2600E-08
16.93,2.5927E-10
26.53,1.5222E+00
5.06,2.8525E+01
27.64,1.3818E+00
61.54,1.4676E-06
48.01,0.0000E+00
30.59,7.3451E-01
75.29,1.5666E+00
60,NaN
41.05,1.7319E+00
34.71,3.4612E+01
32.83,1.6513E+00
67.92,0.0000E+00
34.54,4.8045E-07
4.41,1.3832E+00
6.74,0.0000E+00
53.16,4.8338E-20
44.35,1.1330E-09
76.31,3.4232E-03
41.11,1.4060E-08
4.05,NaN
28.03,1.4828E+00
14.45,3.8089E+01
17.06,3.8090E+01
32.52,3.3817E+01
34.89,2.6867E+01
28.93,0.0000E+00
14.56,5.5872E-01
70.53,1.3875E+00
21.43,NaN
6.01,4.7053E+01
6.4,5.4773E+01
55.88,1.4061E+00
13.17,7.6058E-01
23.95,1.6778E+00
13.44,1.6345E-09
57.55,0.0000E+00
54.82,1.8626E-10
53.05,NaN
25.99,4.8417E+01
40.73,1.5782E+00
35.3,3.8239E+01
52.66,0.0000E+00
22.62,3.7948E-01
31.49,0.0000E+00
4.98,1.7088E+00
32.78,NaN
12.62,NaN
28.84,NaN
54.49,0.0000E+00
49.17,0.0000E+00
12.68,3.7815E+01
73.06,0.0000E+00
8.09,0.0000E+00
43.57,1.5658E-02
24.53,0.0000E+00
63,1.9418E+00
47.69,1.2635E+00
19.03,1.4879E+00
39.07,NaN
8.26,0.0000E+00
17.23,6.2684E+01
4.58,5.4496E-09
19.56,2.6108E-05
77.88,1.1270E+00
59.76,NaN
67.64,9.3132E-11
86.63,NaN
44.76,4.5060E+01
18.73,1.3403E-07
9.9,8.6233E-01
18.92,4.3694E+01
45.89,1.8982E+00
16.26,5.4497E-03
51.74,3.9991E-01
4.76,1.1499E+00
20.32,NaN
61.02,1.3706E-01
7.04,5.9371E-09
40.83,1.2498E+00
22.77,0.0000E+00
7.36,1.4784E-09
12.36,1.5861E+00
17.23,NaN
36.15,0.0000E+00
29.86,5.3256E+01
29.24,1.4380E-07
17.49,5.1164E+01
48.13,7.4550E-04
54.91,4.6797E-02
31.05,5.5799E+01
84.55,0.0000E+00
65.9,1.8475E+00
30.98,NaN
23.48,1.5444E-10
26.75,9.0691E-01
38.36,NaN
32.2,2.6136E-80
3.27,4.8727E-01
25.46,0.0000E+00
20.05,5.5565E-01
52.07,0.0000E+00
20.67,1.5611E+00
20.05,8.9828E-01
4.41,NaN
39.97,3.0900E-08
23.95,0.0000E+00
55.59,2.2005E-02
3.1,1.5543E+00
25.45,6.0619E+01
44.13,0.0000E+00
33.4,1.5591E+00
35.64,0.0000E+00
13.42,7.2044E-09
29.49,1.6397E+00
57.12,0.0000E+00
29.07,NaN
3.47,1.3970E-10
5.4,1.7436E+00
18.54,1.0195E+00
62.44,NaN
88.79,0.0000E+00
42.49,1.3344E+00
25.04,1.9867E+00
